Name,Phone,Full_Address,City,State,ZIP,Source_URL,Latitude,Longitude
Hugo Family Cellars,707-492-3448,"Napa, California",Napa,California,,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Husic Vineyards,707-812-4909,189 Ridge Drive,,,,https://www.fortross.org/local/ava/napa-valley,41.44161,-84.2516
PharaohMoans,707-251-8070,"135 Camino Dorado, Suite 10",Camino Dorado,Suite 10,,https://www.fortross.org/local/ava/napa-valley,38.229768,-122.25689
Vintner`s Collective,707-255-7150,1245 Main St,,,,https://www.fortross.org/local/ava/napa-valley,40.600736,-80.65292
Burgess Cellars Tasting Room,707-963-4766,1108 Deer Park Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.5569,-122.47512
Skywalker Vineyards,,110 Camino Oruga,,,,https://www.fortross.org/local/ava/napa-valley,38.229058,-122.255771
Barbour Vineyards,707-257-1829,104 Camino Dorado,,,,https://www.fortross.org/local/ava/napa-valley,38.23017,-122.25525
Edge Wines,707-258-9766,"4500 Silverado Trl, Ste 1",Silverado Trl,Ste 1,,https://www.fortross.org/local/ava/napa-valley,38.3708,-122.296164
Kuleto Estate Family Vineyards,707-708-7651,2470 Sage Canyon Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.499073,-122.32527
Lloyd Cellars,707-257-2797,647 Greenfield Rd,,,,https://www.fortross.org/local/ava/napa-valley,41.201253,-80.363233
Purlieu Wines,323-878-0880,PO Box 5689,,,,https://www.fortross.org/local/ava/napa-valley,,
Ankh Wines,,"1436 2nd Street, #174",nd Street,#174,,https://www.fortross.org/local/ava/napa-valley,38.75476,-83.02612
Brown Estate â€“ Downtown Napa,707-963-2435,1005 Coombs Street,,,,https://www.fortross.org/local/ava/napa-valley,38.29854,-122.287142
Ricardus Corculum,,"Napa, California",Napa,California,,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Mahoney Vineyards,707-253-9463,708 First Street,,,,https://www.fortross.org/local/ava/napa-valley,38.79155,-83.53861
